"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C"
4219700,2101600,2887100,"g3402.t1","yellow","blue","grey"
705810,0,666560,"g3404.t1","blue","blue","grey"
4857500,2852700,3075600,"g3414.t1","black","black","grey"
106020,0,172000,"g3422.t1","red","green","grey"
0,0,541250,"g3428.t1","brown","brown","blue"
4815500,2735900,2162100,"g3435.t1","turquoise","black","grey"
2893000,1760800,1068400,"g3442.t1","magenta","brown","grey"
0,0,774440,"g3446.t1","brown","brown","blue"
0,321130,0,"g3450.t1","blue","blue","brown"
4478200,4481400,5782800,"g347.t1","brown","brown","blue"
0,1052600,681750,"g348.t1","yellow","blue","grey"
0,0,1906100,"g3484.t1","brown","brown","blue"
0,131880,0,"g3526.t1","blue","blue","brown"
2649100,2213100,875430,"g356.t1","pink","brown","grey"
1938000,1211500,1993300,"g3562.t1","blue","blue","grey"
1904400,0,2188100,"g3564.t1","blue","blue","grey"
8171300,4773400,7571600,"g3620.t1","green","green","grey"
0,511780,0,"g3673.t1","blue","blue","brown"
9443600,0,0,"g3684.t1.g3685.t1","turquoise","black","turquoise"
32789000,41332000,46146000,"g3719.t1","magenta","brown","grey"
460230,0,483920,"g3720.t1","blue","blue","grey"
13885000,15484000,21740000,"g3726.t1","brown","brown","grey"
0,534550,0,"g3730.t1","blue","blue","brown"
27734000,8361000,13605000,"g3748.t1","black","black","grey"
0,1180900,683830,"g3752.t1","yellow","blue","grey"
6063900,1768300,3750500,"g3756.t1","yellow","blue","grey"
2404700,1727800,0,"g3764.t1","pink","brown","grey"
2930200,2280600,2763800,"g3796.t1","green","green","grey"
434850,0,663200,"g3806.t1","red","green","grey"
3468200,2918500,2483600,"g3836.t1","magenta","brown","grey"
4686700,7080300,10946000,"g3843.t1","pink","brown","grey"
6091800,1419200,4645900,"g3870.t1","green","green","grey"
750690,279400,341810,"g3885.t1","black","black","grey"
5313900,1383100,4026500,"g3890.t1","green","green","grey"
1060900,1412500,4380400,"g3909.t1","brown","brown","grey"
20631000,15627000,32813000,"g391.t1","brown","brown","grey"
4353400,4192600,2866200,"g3911.t1","brown","brown","grey"
63456000,19567000,58829000,"g3916.t1","blue","blue","grey"
0,391960,428210,"g3959.t1","turquoise","black","grey"
350150,0,409310,"g3960.t1","blue","blue","grey"
561780,1001900,0,"g4034.t1","red","green","grey"
3302200,5268900,2440300,"g4053.t2.g4053.t1","red","green","grey"
920630,2757600,1039100,"g4063.t1","blue","blue","grey"
23032000,8974100,14976000,"g409.t1","yellow","blue","grey"
1489500,8717100,3636100,"g4095.t1","green","green","grey"
3494000,8012800,3078100,"g4100.t1","blue","blue","grey"
13125000,1999700,6225100,"g4103.t1","yellow","blue","grey"
0,2126100,0,"g4104.t1","blue","blue","brown"
230340,337330,249020,"g4108.t1","green","green","grey"
1011000,0,0,"g4158.t1","turquoise","black","turquoise"
0,488880,0,"g4215.t1","blue","blue","brown"
0,780410,242490,"g4228.t1","green","green","grey"
1074000,1650600,1715000,"g4245.t1","turquoise","black","grey"
2976300,7041700,4917400,"g4249.t1","yellow","blue","grey"
1187600,1931500,1524000,"g4271.t1","yellow","blue","grey"
1462800,1070200,1243800,"g4316.t1","yellow","blue","grey"
73188000,33216000,27054000,"g435.t1","turquoise","black","grey"
856740,757900,905550,"g4408.t1","red","green","grey"
0,1150700,0,"g441.t1","blue","blue","brown"
1534000,5469200,2889500,"g4421.t1","green","green","grey"
0,5110300,2227800,"g4449.t1","yellow","blue","grey"
37382000,14491000,12278000,"g4469.t1","turquoise","black","grey"
2861500,1284000,3212600,"g4480.t1","blue","blue","grey"
0,409900,0,"g45.t1","blue","blue","brown"
620260,1162400,1043200,"g4505.t1","black","black","grey"
0,391290,0,"g4518.t1","blue","blue","brown"
837010,0,0,"g4519.t1","turquoise","black","turquoise"
41521000,50452000,43327000,"g4594.t1.g5136.t1.g8860.t1.g7505.t1","green","green","grey"
1092700,948150,592530,"g4596.t1","pink","brown","grey"
1603600,1138100,2054800,"g4601.t1","red","green","grey"
6163200,5650800,3355800,"g4610.t1","brown","brown","grey"
0,1265400,0,"g4615.t1","blue","blue","brown"
206960,0,0,"g4647.t1","turquoise","black","turquoise"
969880,2268400,1935300,"g4654.t1","black","black","grey"
2973300,1974800,2897400,"g4657.t1","blue","blue","grey"
2533000,1929200,1080800,"g4698.t1.g4698.t2","pink","brown","grey"
1574200,850510,1431400,"g4716.t1","green","green","grey"
1675800,1198500,1678100,"g4745.t1","blue","blue","grey"
266300000,56975000,81942000,"g4813.t1","black","black","grey"
8120100,0,0,"g4835.t1","turquoise","black","turquoise"
8570300,13291000,27100000,"g4856.t1","pink","brown","grey"
2241000,901250,1482200,"g4889.t1","yellow","blue","grey"
1389800,0,0,"g4916.t1","turquoise","black","turquoise"
3133400,2741500,2592300,"g492.t1","turquoise","black","grey"
23150000,13075000,18037000,"g4957.t1","yellow","blue","grey"
5465100,3278700,11581000,"g4977.t1","brown","brown","grey"
5319400,3645700,5017000,"g4982.t1","green","green","grey"
0,244010,0,"g4985.t1","blue","blue","brown"
0,389590,0,"g4995.t1","blue","blue","brown"
0,1333000,1258400,"g5008.t2","turquoise","black","grey"
0,537700,0,"g5013.t1","blue","blue","brown"
3331000,4794300,5270800,"g5019.t1","turquoise","black","grey"
471200,1432400,736330,"g504.t1","green","green","grey"
1242100,993920,905470,"g5062.t1","turquoise","black","grey"
5191400,7713500,7782900,"g5068.t1","turquoise","black","grey"
2966100,2747300,1915100,"g5084.t1.g4320.t1.g4635.t1","brown","brown","grey"
86084000,40922000,54228000,"g5094.t1","black","black","grey"
1892400,3498400,3622300,"g5095.t1","turquoise","black","grey"
2464200,0,2104400,"g5098.t1","green","green","grey"
2635600,1507200,1617500,"g5105.t1","black","black","grey"
0,664470,0,"g5127.t1","blue","blue","brown"
2227200,2441700,2045200,"g5143.t1","red","green","grey"
433010,352430,317810,"g5156.t1","turquoise","black","grey"
1980200,10603000,1815700,"g5175.t1","blue","blue","grey"
456970,741480,325120,"g5190.t1","red","green","grey"
1535000,4645800,1883200,"g520.t1","blue","blue","grey"
3245800,5224200,1929600,"g5211.t1","red","green","grey"
17406000,6965400,4870400,"g5214.t1","turquoise","black","grey"
1887600,1965800,1465700,"g5224.t1","brown","brown","grey"
1040900,0,0,"g5230.t1","turquoise","black","turquoise"
1792200,1783200,1127500,"g5242.t1","brown","brown","grey"
22404000,10602000,18716000,"g5261.t1","green","green","grey"
3905300,4158700,2676600,"g5267.t1","brown","brown","grey"
1821300,0,0,"g5275.t1","turquoise","black","turquoise"
6680900,3588400,6771500,"g5276.t1","blue","blue","grey"
963040,2308300,898420,"g5301.t1","blue","blue","grey"
1840100,6945400,3624300,"g5308.t1","green","green","grey"
3110900,0,0,"g531.t2","turquoise","black","turquoise"
838300,5910900,1331700,"g5317.t1","blue","blue","grey"
0,0,910430,"g5385.t1","brown","brown","blue"
0,286690,271450,"g5398.t1","turquoise","black","grey"
1168600,728470,1120100,"g5425.t1","blue","blue","grey"
5735800,1370700,3342000,"g543.t1","yellow","blue","grey"
857210,1234500,1800400,"g5435.t1","pink","brown","grey"
534960,1505300,598980,"g5476.t1","blue","blue","grey"
2502500,1504700,1096800,"g5477.t1","turquoise","black","grey"
16479000,18467000,20899000,"g5481.t1","pink","brown","grey"
10798000,11090000,17864000,"g5485.t1","brown","brown","grey"
0,12500000,0,"g5525.t1","blue","blue","brown"
12948000,10775000,8275200,"g5567.t1","pink","brown","grey"
27003000,27472000,15311000,"g5636.t1","brown","brown","grey"
9520400,0,0,"g5699.t1","turquoise","black","turquoise"
21613000,114610000,62878000,"g5704.t1","yellow","blue","grey"
0,2362600,0,"g5726.t1.g5726.t2","blue","blue","brown"
1446700,0,0,"g5736.t1","turquoise","black","turquoise"
511840,0,0,"g5737.t1","turquoise","black","turquoise"
10209000,6241900,9112900,"g5744.t1","green","green","grey"
2208800,0,0,"g5775.t1","turquoise","black","turquoise"
0,253240,0,"g5777.t1","blue","blue","brown"
1535400,5592700,4644700,"g5809.t1","black","black","grey"
5458400,2904400,3108400,"g5810.t1","turquoise","black","grey"
0,317080,0,"g5818.t1","blue","blue","brown"
1775300,1417700,3469100,"g5830.t1","brown","brown","grey"
1238700,6220100,2160100,"g5859.t1","green","green","grey"
1461400,4057900,2032300,"g5860.t1","green","green","grey"
0,2700800,0,"g587.t1","blue","blue","brown"
1057400,1917600,1042900,"g591.t1","blue","blue","grey"
415960,0,343900,"g5924.t1","green","green","grey"
1495000,2139100,1692000,"g5982.t1","green","green","grey"
73607000,70116000,41870000,"g606.t1","brown","brown","grey"
1239400,0,0,"g6071.t1","turquoise","black","turquoise"
443060,1182900,1693100,"g6103.t1","magenta","brown","grey"
2583500,0,2342600,"g6109.t1","blue","blue","grey"
2241100,5441100,4300300,"g6113.t1","yellow","blue","grey"
34074000,15015000,30768000,"g6135.t1","green","green","grey"
1158300,0,0,"g6144.t1","turquoise","black","turquoise"
0,921850,1469300,"g6193.t1","magenta","brown","grey"
1069400,769650,952020,"g6200.t1","yellow","blue","grey"
579470,0,0,"g6230.t1","turquoise","black","turquoise"
3003600,7034800,2688100,"g6258.t1","blue","blue","grey"
4114900,4320900,3141600,"g630.t1","brown","brown","grey"
1789200,8300600,3980200,"g6301.t1","green","green","grey"
3002300,4999000,5919900,"g6303.t1","turquoise","black","grey"
15508000,10304000,9029300,"g6328.t1","turquoise","black","grey"
2267400,0,0,"g6376.t1","turquoise","black","turquoise"
5105500,5518700,3732600,"g6390.t1","brown","brown","grey"
15890000,3148800,0,"g6397.t1","turquoise","black","grey"
1569000,0,1707900,"g64.t1","blue","blue","grey"
0,1130300,2407500,"g640.t1","pink","brown","grey"
0,1653300,4334500,"g6427.t1","pink","brown","grey"
523720,0,0,"g644.t1","turquoise","black","turquoise"
0,1166700,781110,"g6443.t1","yellow","blue","grey"
2126100,1891400,1620400,"g6489.t1","pink","brown","grey"
0,565630,581540,"g6499.t1","turquoise","black","grey"
843230,0,691580,"g6509.t1","green","green","grey"
3193600,9055200,4925400,"g6512.t1","green","green","grey"
0,979280,0,"g6517.t1","blue","blue","brown"
2350400,8659900,6234100,"g6540.t1","yellow","blue","grey"
0,839400,0,"g6542.t1","blue","blue","brown"
