"Auto","Hete","Mixo","ID","Partition_A","Partition_B","Partition_C","Partition_D","Highlight"
2533000,1929200,1080800,"g4698.t1.g4698.t2","pink","brown","grey",6,0.00137158959980356
1574200,850510,1431400,"g4716.t1","green","green","grey",14,0
1675800,1198500,1678100,"g4745.t1","blue","blue","grey",12,0.0433095081501424
266300000,56975000,81942000,"g4813.t1","black","black","grey",5,0
8120100,0,0,"g4835.t1","turquoise","black","turquoise",4,0.000133096880518806
8570300,13291000,27100000,"g4856.t1","pink","brown","grey",6,0
2241000,901250,1482200,"g4889.t1","yellow","blue","grey",11,0.0492397185137601
1389800,0,0,"g4916.t1","turquoise","black","turquoise",4,0.000181963305822607
3133400,2741500,2592300,"g492.t1","turquoise","black","grey",7,0.00924488522980963
23150000,13075000,18037000,"g4957.t1","yellow","blue","grey",11,0
5465100,3278700,11581000,"g4977.t1","brown","brown","grey",8,0
5319400,3645700,5017000,"g4982.t1","green","green","grey",14,0
0,244010,0,"g4985.t1","blue","blue","brown",12,5.19736212172038e-05
0,389590,0,"g4995.t1","blue","blue","brown",12,5.1573213002578e-07
0,1333000,1258400,"g5008.t2","turquoise","black","grey",16,0
0,537700,0,"g5013.t1","blue","blue","brown",12,2.64633900470758e-05
3331000,4794300,5270800,"g5019.t1","turquoise","black","grey",7,0
471200,1432400,736330,"g504.t1","green","green","grey",2,0
1242100,993920,905470,"g5062.t1","turquoise","black","grey",7,0.00955703210150773
5191400,7713500,7782900,"g5068.t1","turquoise","black","grey",4,0
2966100,2747300,1915100,"g5084.t1.g4320.t1.g4635.t1","brown","brown","grey",6,0.0152963571104996
86084000,40922000,54228000,"g5094.t1","black","black","grey",9,0
1892400,3498400,3622300,"g5095.t1","turquoise","black","grey",3,0
2464200,0,2104400,"g5098.t1","green","green","grey",14,0.0258333447255726
2635600,1507200,1617500,"g5105.t1","black","black","grey",16,0
0,664470,0,"g5127.t1","blue","blue","brown",12,2.60089048331967e-07
2227200,2441700,2045200,"g5143.t1","red","green","grey",15,0.000134896185259868
433010,352430,317810,"g5156.t1","turquoise","black","grey",7,0.00768647166590423
1980200,10603000,1815700,"g5175.t1","blue","blue","grey",12,0.0227931038190706
456970,741480,325120,"g5190.t1","red","green","grey",10,0.0400963680470493
1535000,4645800,1883200,"g520.t1","blue","blue","grey",13,2.90099323139501e-07
3245800,5224200,1929600,"g5211.t1","red","green","grey",15,0.0185086269156233
17406000,6965400,4870400,"g5214.t1","turquoise","black","grey",3,0.00723217612586777
1887600,1965800,1465700,"g5224.t1","brown","brown","grey",8,0.0445488124585944
1040900,0,0,"g5230.t1","turquoise","black","turquoise",4,0.000186869950546332
1792200,1783200,1127500,"g5242.t1","brown","brown","grey",1,0.206635427077682
22404000,10602000,18716000,"g5261.t1","green","green","grey",2,0.0518001351397894
3905300,4158700,2676600,"g5267.t1","brown","brown","grey",8,0.014904142825615
1821300,0,0,"g5275.t1","turquoise","black","turquoise",4,0.000332618320540202
6680900,3588400,6771500,"g5276.t1","blue","blue","grey",10,0
963040,2308300,898420,"g5301.t1","blue","blue","grey",10,0.0225436184011706
1840100,6945400,3624300,"g5308.t1","green","green","grey",2,7.83268172476654e-05
